text,font_size,font-family,font-weight,page-number,x-pos-l,x-pos-r,y-pos-l,page-width,page-height,class,file_name
QMAC-CY-140001-N,11.04,Calibri,400,1,72.02,163.03,745.68,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
ATTACHMENT – H - Data Sources,14.04,"Calibri,Bold",700,1,210.53,401.52,682.66,612,792,yes,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
Introduction,11.04,"Calibri,Bold",700,1,72.02,129.3,654.58,612,792,yes,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"The Contractor shall import , aggregate , standardize , and store data from multiple source types which ",11.04,Calibri,400,1,72.02,524.2,627.1,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"include , but are not limited to : TMC data , ETS2 data , ARC data , charge card data ( SmartPay ), supplier ",11.04,Calibri,400,1,72.02,522.14,613.66,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"direct data ( air , car , hotel ), benchmark data , reference data , and TMIS 1.0 data archives . This ",11.04,Calibri,400,1,72.02,486.44,600.34,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
attachment provides the Contractor with a description and the corresponding specifications ( when,11.04,Calibri,400,1,72.02,513.6,586.9,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
available ) for each data source listed above .,11.04,Calibri,400,1,72.02,268.32,573.46,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"The estimates provided herein are estimates only , and are based on history where available . They are ",11.04,Calibri,400,1,72.02,525.57,548.02,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
not guarantees of future volume under this effort .,11.04,Calibri,400,1,72.02,296.38,534.58,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"Many , but not all , of the data sources are under contract with the Federal Government . As a result , his ",11.04,Calibri,400,1,72.02,530.04,507.07,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
acquisition could cause an organizational conflict of interest because performance of TMIS 2.0 requires,11.04,Calibri,400,1,72.02,532.18,493.75,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
use of potentially proprietary information from other travel related contractors to perform the work on,11.04,Calibri,400,1,72.02,534.48,480.31,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
this contract . Unfettered use of this information could confer an unfair competitive advantage to the,11.04,Calibri,400,1,72.02,525.07,466.87,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"TMIS contractor . As a result , please reference Section H for the Conflict of Interest clause that will apply ",11.04,Calibri,400,1,72.02,535.46,453.43,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
to this effort .,11.04,Calibri,400,1,72.02,131.18,439.99,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
1 . Travel Management Center ( TMC ) Data,11.04,"Calibri,Bold",700,1,72.02,262.54,412.51,612,792,yes,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
A TMC or travel agency provides the final booking and ticketing service . TMC data is travel reservation,11.04,Calibri,400,1,72.02,527.82,387.07,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
and / or ticketed data . TMC data is also referred to as PNR ( Passenger Name Record ) data .,11.04,Calibri,400,1,72.02,469.92,373.75,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
It is expected that the feed will be received from 20-30 TMCs weekly . TMIS 1.0 currently receives data,11.04,Calibri,400,1,72.02,527.44,348.29,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"feeds from 22 TMCs . These TMCs utilize 7 different commercial back-office systems which are , Agresso ",11.04,Calibri,400,1,72.02,533.95,334.85,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"( 42 %), Decision Source (< 1 %), GlobalMax (< 1 %), Globalware ( 2 %), Glory ( 32 %), TRAMS ( 24 %), Travcom ",11.04,Calibri,400,1,72.02,529.72,321.41,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
(< 1 %). The Figures in parenthesis are the approximate % of transactions currently received from each,11.04,Calibri,400,1,72.02,527.05,307.97,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"back office system , and is subject to change . ",11.04,Calibri,400,1,72.02,269.92,294.53,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
This data may also be received from other sources such as ETS . The Contractor may propose an,11.04,Calibri,400,1,72.02,497.3,269.09,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
alternative source for this reservation data providing that the data quality meets or enhances the level,11.04,Calibri,400,1,72.02,529.79,255.65,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"received via standard TMC feeds , for example , better refund and exchange data . ",11.04,Calibri,400,1,72.02,431.42,242.21,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
The format of feed is currently CSV / text delimited / Excel files . The format of the data feed varies among,11.04,Calibri,400,1,72.02,534.02,216.77,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"TMCs . The data feed may consist of multiple data files , e . g . air reservation , hotel reservation , invoice ",11.04,Calibri,400,1,72.02,521.19,203.45,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
files .,11.04,Calibri,400,1,72.02,93.02,190.01,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
"Estimated annual PNR volume for the current TMCs is 2.5 – 3.0 million , based on FY12 and FY13 PNRs ",11.04,Calibri,400,1,72.02,524.78,164.54,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
processed .,11.04,Calibri,400,1,72.02,120.28,151.1,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
Each PNR record may contain over 100 data elements .,11.04,Calibri,400,1,72.02,314.6,125.66,612,792,,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
2 . E-Gov Travel Service 2 ( ETS2 ) Voucher Data,11.04,"Calibri,Bold",700,1,72.02,279.82,100.22,612,792,yes,2b94693d0365990700aa5d96036237c61e6f31b3.file.pdf.tetml
